event_id,stock_id,stock_name,signal_date,notification_type,status,percentile,event_age_days,reason,trade_action
P6D-TWSE-8081-2026-07-09,8081,致新,2026-07-09,TWSE_TRACK_CONFIRMED,TWSE_TRACK_CONFIRMED,96.68367346938776,0,上市法人排名連續3個交易日位於同日TWSE前10%，建立40日追蹤,TRACK_ONLY
P6D-TWSE-1477-2026-05-14,1477,聚陽,2026-07-13,TWSE_DAY40_END,TWSE_TRACK_CONFIRMED,89.31297709923665,40,上市法人40日追蹤期結束；不代表賣出,TRACK_ONLY
P6D-TWSE-2548-2026-05-14,2548,華固,2026-07-13,TWSE_DAY40_END,TWSE_TRACK_CONFIRMED,26.208651399491096,40,上市法人40日追蹤期結束；不代表賣出,TRACK_ONLY
P6D-TWSE-6139-2026-05-14,6139,亞翔,2026-07-13,TWSE_DAY40_END,TWSE_TRACK_CONFIRMED,61.832061068702295,40,上市法人40日追蹤期結束；不代表賣出,TRACK_ONLY
P6D-TWSE-6257-2026-07-13,6257,矽格,2026-07-13,TWSE_TRACK_CONFIRMED,TWSE_TRACK_CONFIRMED,91.0941475826972,0,上市法人排名連續3個交易日位於同日TWSE前10%，建立40日追蹤,TRACK_ONLY
P6D-TWSE-2337-2026-07-14,2337,旺宏,2026-07-14,TWSE_TRACK_CONFIRMED,TWSE_TRACK_CONFIRMED,94.14758269720102,0,上市法人排名連續3個交易日位於同日TWSE前10%，建立40日追蹤,TRACK_ONLY
P6D-TWSE-2603-2026-05-15,2603,長榮,2026-07-14,TWSE_DAY40_END,TWSE_TRACK_CONFIRMED,65.64885496183206,40,上市法人40日追蹤期結束；不代表賣出,TRACK_ONLY
P6D-TWSE-3706-2026-05-15,3706,神達,2026-07-14,TWSE_DAY40_END,TWSE_TRACK_CONFIRMED,67.17557251908397,40,上市法人40日追蹤期結束；不代表賣出,TRACK_ONLY
P6D-TWSE-2313-2026-05-18,2313,華通,2026-07-15,TWSE_DAY40_END,TWSE_TRACK_CONFIRMED,71.7557251908397,40,上市法人40日追蹤期結束；不代表賣出,TRACK_ONLY
P6D-TWSE-2472-2026-05-18,2472,立隆電,2026-07-15,TWSE_DAY40_END,TWSE_TRACK_CONFIRMED,79.38931297709924,40,上市法人40日追蹤期結束；不代表賣出,TRACK_ONLY
P6D-TWSE-2890-2026-07-15,2890,永豐金,2026-07-15,TWSE_TRACK_CONFIRMED,TWSE_TRACK_CONFIRMED,96.18320610687023,0,上市法人排名連續3個交易日位於同日TWSE前10%，建立40日追蹤,TRACK_ONLY
P6D-TWSE-5876-2026-07-15,5876,上海商銀,2026-07-15,TWSE_TRACK_CONFIRMED,TWSE_TRACK_CONFIRMED,95.16539440203562,0,上市法人排名連續3個交易日位於同日TWSE前10%，建立40日追蹤,TRACK_ONLY
P6D-TWSE-2385-2026-05-19,2385,群光,2026-07-16,TWSE_DAY40_END,TWSE_TRACK_CONFIRMED,69.72010178117048,40,上市法人40日追蹤期結束；不代表賣出,TRACK_ONLY
P6D-TWSE-2393-2026-05-19,2393,億光,2026-07-16,TWSE_DAY40_END,TWSE_TRACK_CONFIRMED,25.190839694656486,40,上市法人40日追蹤期結束；不代表賣出,TRACK_ONLY
P6D-TWSE-6669-2026-05-19,6669,緯穎,2026-07-16,TWSE_DAY40_END,TWSE_TRACK_CONFIRMED,64.3765903307888,40,上市法人40日追蹤期結束；不代表賣出,TRACK_ONLY
P6D-TWSE-8016-2026-07-16,8016,矽創,2026-07-16,TWSE_TRACK_CONFIRMED,TWSE_TRACK_CONFIRMED,93.12977099236642,0,上市法人排名連續3個交易日位於同日TWSE前10%，建立40日追蹤,TRACK_ONLY
P6D-TWSE-1326-2026-07-17,1326,台化,2026-07-17,TWSE_TRACK_CONFIRMED,TWSE_TRACK_CONFIRMED,94.11764705882352,0,上市法人排名連續3個交易日位於同日TWSE前10%，建立40日追蹤,TRACK_ONLY
P6D-TWSE-2379-2026-07-17,2379,瑞昱,2026-07-17,TWSE_TRACK_CONFIRMED,TWSE_TRACK_CONFIRMED,92.32736572890026,0,上市法人排名連續3個交易日位於同日TWSE前10%，建立40日追蹤,TRACK_ONLY
P6D-TWSE-2441-2026-07-17,2441,超豐,2026-07-17,TWSE_TRACK_CONFIRMED,TWSE_TRACK_CONFIRMED,90.02557544757033,0,上市法人排名連續3個交易日位於同日TWSE前10%，建立40日追蹤,TRACK_ONLY
P6D-TWSE-4919-2026-07-17,4919,新唐,2026-07-17,TWSE_TRACK_CONFIRMED,TWSE_TRACK_CONFIRMED,96.67519181585678,0,上市法人排名連續3個交易日位於同日TWSE前10%，建立40日追蹤,TRACK_ONLY
P6D-TWSE-6770-2026-05-20,6770,力積電,2026-07-17,TWSE_DAY40_END,TWSE_TRACK_CONFIRMED,86.70076726342711,40,上市法人40日追蹤期結束；不代表賣出,TRACK_ONLY
P6D-TWSE-1590-2026-07-20,1590,亞德客-KY,2026-07-20,TWSE_TRACK_CONFIRMED,TWSE_TRACK_CONFIRMED,97.9381443298969,0,上市法人排名連續3個交易日位於同日TWSE前10%，建立40日追蹤,TRACK_ONLY
P6D-TWSE-5269-2026-05-21,5269,祥碩,2026-07-20,TWSE_DAY40_END,TWSE_TRACK_CONFIRMED,94.84536082474226,40,上市法人40日追蹤期結束；不代表賣出,TRACK_ONLY
P6D-TWSE-6213-2026-07-20,6213,聯茂,2026-07-20,TWSE_TRACK_CONFIRMED,TWSE_TRACK_CONFIRMED,93.29896907216495,0,上市法人排名連續3個交易日位於同日TWSE前10%，建立40日追蹤,TRACK_ONLY
P6D-TWSE-2449-2026-07-21,2449,京元電子,2026-07-21,TWSE_TRACK_CONFIRMED,TWSE_TRACK_CONFIRMED,97.36147757255937,0,上市法人排名連續3個交易日位於同日TWSE前10%，建立40日追蹤,TRACK_ONLY
P6D-TWSE-2481-2026-05-22,2481,強茂,2026-07-21,TWSE_DAY40_END,TWSE_TRACK_CONFIRMED,48.02110817941953,40,上市法人40日追蹤期結束；不代表賣出,TRACK_ONLY
P6D-TWSE-2880-2026-07-21,2880,華南金,2026-07-21,TWSE_TRACK_CONFIRMED,TWSE_TRACK_CONFIRMED,92.87598944591029,0,上市法人排名連續3個交易日位於同日TWSE前10%，建立40日追蹤,TRACK_ONLY
P6D-TWSE-2912-2026-07-21,2912,統一超,2026-07-21,TWSE_TRACK_CONFIRMED,TWSE_TRACK_CONFIRMED,90.76517150395779,0,上市法人排名連續3個交易日位於同日TWSE前10%，建立40日追蹤,TRACK_ONLY
P6D-TWSE-3711-2026-05-25,3711,日月光投控,2026-07-22,TWSE_DAY40_END,TWSE_TRACK_CONFIRMED,95.47872340425532,40,上市法人40日追蹤期結束；不代表賣出,TRACK_ONLY
P6D-TWSE-2883-2026-05-26,2883,凱基金,2026-07-23,TWSE_DAY40_END,TWSE_TRACK_CONFIRMED,64.02116402116403,40,上市法人40日追蹤期結束；不代表賣出,TRACK_ONLY
P6D-TWSE-2892-2026-05-26,2892,第一金,2026-07-23,TWSE_DAY40_END,TWSE_TRACK_CONFIRMED,82.01058201058201,40,上市法人40日追蹤期結束；不代表賣出,TRACK_ONLY
P6D-TWSE-1718-2026-07-24,1718,中纖,2026-07-24,TWSE_TRACK_CONFIRMED,TWSE_TRACK_CONFIRMED,94.44444444444444,0,上市法人排名連續3個交易日位於同日TWSE前10%，建立40日追蹤,TRACK_ONLY
P6D-TWSE-2395-2026-05-27,2395,研華,2026-07-24,TWSE_DAY40_END,TWSE_TRACK_CONFIRMED,98.67724867724867,40,上市法人40日追蹤期結束；不代表賣出,TRACK_ONLY
P6D-TWSE-2492-2026-05-27,2492,華新科,2026-07-24,TWSE_DAY40_END,TWSE_TRACK_CONFIRMED,91.7989417989418,40,上市法人40日追蹤期結束；不代表賣出,TRACK_ONLY
P6D-TWSE-3665-2026-05-27,3665,貿聯-KY,2026-07-24,TWSE_DAY40_END,TWSE_TRACK_CONFIRMED,66.4021164021164,40,上市法人40日追蹤期結束；不代表賣出,TRACK_ONLY
P6D-TWSE-6515-2026-07-24,6515,穎崴,2026-07-24,TWSE_TRACK_CONFIRMED,TWSE_TRACK_CONFIRMED,95.76719576719577,0,上市法人排名連續3個交易日位於同日TWSE前10%，建立40日追蹤,TRACK_ONLY
P6D-TWSE-9958-2026-07-24,9958,世紀鋼,2026-07-24,TWSE_TRACK_CONFIRMED,TWSE_TRACK_CONFIRMED,90.21164021164022,0,上市法人排名連續3個交易日位於同日TWSE前10%，建立40日追蹤,TRACK_ONLY
