event_id,stock_id,stock_name,signal_date,entry_percentile,entry_trigger,status,end_signal_date,end_reason
P6D-TWSE-3653-2026-03-18,3653,健策,2026-03-18,91.42011834319527,TOP10_CONFIRM_3D,ENDED,2026-05-18,TWSE_DAY40_END
P6D-TWSE-1609-2026-03-19,1609,大亞,2026-03-19,91.54518950437318,TOP10_CONFIRM_3D,ENDED,2026-05-19,TWSE_DAY40_END
P6D-TWSE-3706-2026-03-19,3706,神達,2026-03-19,92.4198250728863,TOP10_CONFIRM_3D,ENDED,2026-05-19,TWSE_DAY40_END
P6D-TWSE-6531-2026-03-19,6531,愛普*,2026-03-19,98.25072886297376,TOP10_CONFIRM_3D,ENDED,2026-05-19,TWSE_DAY40_END
P6D-TWSE-6669-2026-03-19,6669,緯穎,2026-03-19,91.83673469387756,TOP10_CONFIRM_3D,ENDED,2026-05-19,TWSE_DAY40_END
P6D-TWSE-2059-2026-03-20,2059,川湖,2026-03-20,90.0874635568513,TOP10_CONFIRM_3D,ENDED,2026-05-20,TWSE_DAY40_END
P6D-TWSE-6282-2026-03-20,6282,康舒,2026-03-20,94.16909620991254,TOP10_CONFIRM_3D,ENDED,2026-05-20,TWSE_DAY40_END
P6D-TWSE-3005-2026-03-23,3005,神基,2026-03-23,97.12643678160919,TOP10_CONFIRM_3D,ENDED,2026-05-21,TWSE_DAY40_END
P6D-TWSE-2027-2026-03-24,2027,大成鋼,2026-03-24,97.41379310344827,TOP10_CONFIRM_3D,ENDED,2026-05-22,TWSE_DAY40_END
P6D-TWSE-2360-2026-03-24,2360,致茂,2026-03-24,97.12643678160919,TOP10_CONFIRM_3D,ENDED,2026-05-22,TWSE_DAY40_END
P6D-TWSE-2379-2026-03-24,2379,瑞昱,2026-03-24,92.81609195402298,TOP10_CONFIRM_3D,ENDED,2026-05-22,TWSE_DAY40_END
P6D-TWSE-2002-2026-03-25,2002,中鋼,2026-03-25,96.23188405797102,TOP10_CONFIRM_3D,ENDED,2026-05-25,TWSE_DAY40_END
P6D-TWSE-2352-2026-03-25,2352,佳世達,2026-03-25,94.4927536231884,TOP10_CONFIRM_3D,ENDED,2026-05-25,TWSE_DAY40_END
P6D-TWSE-2371-2026-03-25,2371,大同,2026-03-25,92.17391304347827,TOP10_CONFIRM_3D,ENDED,2026-05-25,TWSE_DAY40_END
P6D-TWSE-3596-2026-03-25,3596,智易,2026-03-25,90.43478260869566,TOP10_CONFIRM_3D,ENDED,2026-05-25,TWSE_DAY40_END
P6D-TWSE-6415-2026-03-26,6415,矽力*-KY,2026-03-26,95.33527696793003,TOP10_CONFIRM_3D,ENDED,2026-05-26,TWSE_DAY40_END
P6D-TWSE-1215-2026-03-27,1215,卜蜂,2026-03-27,92.37536656891496,TOP10_CONFIRM_3D,ENDED,2026-05-27,TWSE_DAY40_END
P6D-TWSE-2376-2026-03-27,2376,技嘉,2026-03-27,96.7741935483871,TOP10_CONFIRM_3D,ENDED,2026-05-27,TWSE_DAY40_END
P6D-TWSE-2357-2026-03-30,2357,華碩,2026-03-30,93.23529411764706,TOP10_CONFIRM_3D,ENDED,2026-05-28,TWSE_DAY40_END
P6D-TWSE-3583-2026-03-30,3583,辛耘,2026-03-30,95.88235294117648,TOP10_CONFIRM_3D,ENDED,2026-05-28,TWSE_DAY40_END
P6D-TWSE-2881-2026-03-31,2881,富邦金,2026-03-31,91.91616766467065,TOP10_CONFIRM_3D,ENDED,2026-05-29,TWSE_DAY40_END
P6D-TWSE-3189-2026-03-31,3189,景碩,2026-03-31,90.11976047904191,TOP10_CONFIRM_3D,ENDED,2026-05-29,TWSE_DAY40_END
P6D-TWSE-4958-2026-03-31,4958,臻鼎-KY,2026-03-31,97.0059880239521,TOP10_CONFIRM_3D,ENDED,2026-05-29,TWSE_DAY40_END
P6D-TWSE-2377-2026-04-01,2377,微星,2026-04-01,98.78048780487805,TOP10_CONFIRM_3D,ENDED,2026-06-01,TWSE_DAY40_END
P6D-TWSE-2603-2026-04-01,2603,長榮,2026-04-01,96.03658536585365,TOP10_CONFIRM_3D,ENDED,2026-06-01,TWSE_DAY40_END
P6D-TWSE-2486-2026-04-02,2486,一詮,2026-04-02,93.27217125382263,TOP10_CONFIRM_3D,ENDED,2026-06-02,TWSE_DAY40_END
P6D-TWSE-2885-2026-04-02,2885,元大金,2026-04-02,93.57798165137615,TOP10_CONFIRM_3D,ENDED,2026-06-02,TWSE_DAY40_END
P6D-TWSE-2451-2026-04-09,2451,創見,2026-04-09,92.16867469879519,TOP10_CONFIRM_3D,ENDED,2026-06-05,TWSE_DAY40_END
P6D-TWSE-2368-2026-04-10,2368,金像電,2026-04-10,96.08433734939759,TOP10_CONFIRM_3D,ENDED,2026-06-08,TWSE_DAY40_END
P6D-TWSE-2356-2026-04-13,2356,英業達,2026-04-13,92.44712990936556,TOP10_CONFIRM_3D,ENDED,2026-06-09,TWSE_DAY40_END
P6D-TWSE-3044-2026-04-13,3044,健鼎,2026-04-13,93.65558912386706,TOP10_CONFIRM_3D,ENDED,2026-06-09,TWSE_DAY40_END
P6D-TWSE-3443-2026-04-13,3443,創意,2026-04-13,93.95770392749245,TOP10_CONFIRM_3D,ENDED,2026-06-09,TWSE_DAY40_END
P6D-TWSE-8996-2026-04-13,8996,高力,2026-04-13,94.25981873111783,TOP10_CONFIRM_3D,ENDED,2026-06-09,TWSE_DAY40_END
P6D-TWSE-9910-2026-04-13,9910,豐泰,2026-04-13,92.74924471299094,TOP10_CONFIRM_3D,ENDED,2026-06-09,TWSE_DAY40_END
P6D-TWSE-2303-2026-04-14,2303,聯電,2026-04-14,91.31736526946108,TOP10_CONFIRM_3D,ENDED,2026-06-10,TWSE_DAY40_END
P6D-TWSE-2455-2026-04-14,2455,全新,2026-04-14,98.80239520958084,TOP10_CONFIRM_3D,ENDED,2026-06-10,TWSE_DAY40_END
P6D-TWSE-9904-2026-04-14,9904,寶成,2026-04-14,91.01796407185628,TOP10_CONFIRM_3D,ENDED,2026-06-10,TWSE_DAY40_END
P6D-TWSE-2882-2026-04-15,2882,國泰金,2026-04-15,92.53731343283582,TOP10_CONFIRM_3D,ENDED,2026-06-11,TWSE_DAY40_END
P6D-TWSE-8046-2026-04-16,8046,南電,2026-04-16,98.81305637982196,TOP10_CONFIRM_3D,ENDED,2026-06-12,TWSE_DAY40_END
P6D-TWSE-6505-2026-04-17,6505,台塑化,2026-04-17,90.56047197640117,TOP10_CONFIRM_3D,ENDED,2026-06-15,TWSE_DAY40_END
P6D-TWSE-2891-2026-04-20,2891,中信金,2026-04-20,94.69026548672566,TOP10_CONFIRM_3D,ENDED,2026-06-16,TWSE_DAY40_END
P6D-TWSE-8070-2026-04-20,8070,長華*,2026-04-20,99.70501474926253,TOP10_CONFIRM_3D,ENDED,2026-06-16,TWSE_DAY40_END
P6D-TWSE-8150-2026-04-20,8150,南茂,2026-04-20,96.46017699115043,TOP10_CONFIRM_3D,ENDED,2026-06-16,TWSE_DAY40_END
